Qal eh-ye,Afghanistan,August,6,AFG777
Mariehamn,Aland,August,3,ALD335
Kruje,Albania,November,2,ALB649
Jijel,Algeria,February,2,DZA27
Pago Pago,American Samoa,March,9,ASM763
Andorra,Andorra,November,0,AND426
Mucusso,Angola,May,6,AGO211
de Noviembre,Argentina,September,7,ARG429
Ashtarak,Armenia,March,0,ARM862
Oranjestad,Aruba,August,7,ABW135
Central Coast,Australia,June,2,AUS22
Bregenz,Austria,July,9,AUT167
Gadabay,Azerbaijan,February,6,AZE11
Manama,Bahrain,November,9,BHR373
Tangail,Bangladesh,October,9,BGD784
Bridgetown,Barbados,February,8,BRB324
Baranavichy,Belarus,December,0,BLR413
Mons,Belgium,November,1,BEL980
El Cayo,Belize,September,3,BLZ862
Lokossa,Benin,March,6,BEN281
Hamilton,Bermuda,October,5,BMU84
Paro,Bhutan,April,6,BTN505
Punata,Bolivia,November,9,BOL313
Zenica,Bosnia and Herzegovina,June,4,BIH895
Mochudi,Botswana,July,5,BWA814
Grajau,Brazil,April,4,BRA364
Bandar Seri Begawan,Brunei,April,0,BRN87
Lovec,Bulgaria,January,6,BGR178
Fada Ngourma,Burkina Faso,September,4,BFA403
Cankuzo,Burundi,December,4,BDI399
Kampong Spoe,Cambodia,January,0,KHM676
Buea,Cameroon,January,9,CMR12
Selkirk,Canada,November,6,CAN94
Mindelo,Cape Verde,December,5,CPV570
George Town,Cayman Islands,March,8,CYM467
Mobaye,Central African Republic,October,7,CAF902
Lai,Chad,October,2,TCD652
Rio Verde,Chile,September,1,CHL280
Yumen,China,March,1,CHN865
Yopal,Colombia,June,4,COL619
Moroni,Comoros,May,9,COM31
Madingou,Congo (Brazzaville),February,7,COG771
Buluko,Congo (Kinshasa),October,5,COD709
Rarotonga,Cook Islands,August,7,COK856
Heredia,Costa Rica,June,3,CRI586
Sibenik,Croatia,June,6,HRV683
Ciego de Avila,Cuba,December,4,CUB528
Willemstad,Curacao,April,2,CUW829
Larnaka,Cyprus,April,9,CYP270
Usti Nad Labem,Czech Republic,January,8,CZE715
Vejle,Denmark,May,9,DNK796
Dikhil,Djibouti,December,8,DJI245
