Qal eh-ye,Afghanistan,AFG-,,
Mariehamn,Aland,ALD-,
Kruje,Albania,ALB-,
Jijel,Algeria,DZA-,
Pago Pago,American Samoa,ASM-,
Andorra,Andorra,AND-,
Mucusso,Angola,AGO-,
de Noviembre,Argentina,ARG-,
Ashtarak,Armenia,ARM-,
Oranjestad,Aruba,ABW-,
Central Coast,Australia,AUS-,
Bregenz,Austria,AUT-,
Gadabay,Azerbaijan,AZE-,
Manama,Bahrain,BHR-,
Tangail,Bangladesh,BGD-,
Bridgetown,Barbados,BRB-,
Baranavichy,Belarus,BLR-,
Mons,Belgium,BEL-,
El Cayo,Belize,BLZ-,
Lokossa,Benin,BEN-,
Hamilton,Bermuda,BMU-,
Paro,Bhutan,BTN-,
Punata,Bolivia,BOL-,
Zenica,Bosnia and Herzegovina,BIH-,
Mochudi,Botswana,BWA-,
Grajau,Brazil,BRA-,
Bandar Seri Begawan,Brunei,BRN-,
Lovec,Bulgaria,BGR-,
Fada Ngourma,Burkina Faso,BFA-,
Cankuzo,Burundi,BDI-,
Kampong Spoe,Cambodia,KHM-,
Buea,Cameroon,CMR-,
Selkirk,Canada,CAN-,
Mindelo,Cape Verde,CPV-,
George Town,Cayman Islands,CYM-,
Mobaye,Central African Republic,CAF-,
Lai,Chad,TCD-,
Rio Verde,Chile,CHL-,
Yumen,China,CHN-,
Yopal,Colombia,COL-,
Moroni,Comoros,COM-,
Madingou,Congo,COG-,
Buluko,Congo (Kinshasa),COD-,
Rarotonga,Cook Islands,COK-,
Heredia,Costa Rica,CRI-,
Sibenik,Croatia,HRV-,
Ciego de Avila,Cuba,CUB-,
Willemstad,Curacao,CUW-,
Larnaka,Cyprus,CYP-,
Usti Nad Labem,Czech Republic,CZE-,
Vejle,Denmark,DNK-,
Dikhil,Djibouti,DJI-,
Roseau,Dominica,DMA-,
Sabaneta,Dominican Republic,DOM-,
Dili,East Timor,TLS-,
Puyo,Ecuador,ECU-,
Shibin el Kom,Egypt,EGY-,
Ahuachapan,El Salvador,SLV-,
Evinayong,Equatorial Guinea,GNQ-,
Tessenei,Eritrea,ERI-,
Haapsalu,Estonia,EST-,
Awasa,Ethiopia,ETH-,
Fox Bay,Falkland Islands,FLK-,
Klaksvik,Faroe Islands,FRO-,
Palikir,Federated States of Micronesia,FSM-,
Nandi,Fiji,FJI-,
Hameenlinna,Finland,FIN-,
Annecy,France,FRA-,
Papeete,French Polynesia,PYF-,
Ebebiyin,Gabon,GAB-,
Kutaisi,Georgia,GEO-,
Mainz,Germany,DEU-,
Sunyani,Ghana,GHA-,
Gibraltar,Gibraltar,GBR-,
Lamia,Greece,GRC-,
Qasigiannguit,Greenland,GRD-,
Saint George's,Grenada,GRE-,
Agana,Guam,GUM-,
Salama,Guatemala,GUA-,
Mali,Guinea,GUI-,
Cacheu,Guinea Bissau,GUB-,
Corriverton,Guyana,GUY-,
Jeremie,Haiti,HAI-,
Yoro,Honduras,HON-,
Hong Kong,Hong Kong S.A.R.,HKG-,
Veszprem,Hungary,HUN-,
Borgarnes,Iceland,ICE-,
Panaji,India,IND-,
Binjai,Indonesia,INA-,
Yasuj,Iran,IRN-,
Dahuk,Iraq,IRQ-,
Ros Comain,Ireland,IRL-,
Douglas,Isle of Man,ISM-,
Ramla,Israel,ISR-,
Potenza,Italy,ITA-,
Touba,Ivory Coast,IVC-,
Lucea,Jamaica,JAM-,
Okayama,Japan,JPN-,
Al Mafraq,Jordan,JOR-,
Turgay,Kazakhstan,KZH-,
Nyeri,Kenya,KEY-,
Tarawa,Kiribati,KIR-,
Prizren,Kosovo,KOS-,
Hawalli,Kuwait,KUW-,
Tokmak,Kyrgyzstan,KYG-,
Ban Houayxay,Laos,LAO-,
Rezekne,Latvia,LAT-,
B'abda,Lebanon,LEB-,
Teyateyaneng,Lesotho,LES-,
Barclayville,Liberia,LIB-,
Dirj,Libya,LBY-,
Vaduz,Liechtenstein,LIE-,
Panevezys,Lithuania,LIT-,
Diekirch,Luxembourg,LXB-,
Macau,Macau S.A.R,MAU-,
Tetovo,Macedonia,MAC-,
Sambava,Madagascar,MAD-,
Mzimba,Malawi,MAW-,
Kangar,Malaysia,MYL-,
Male,Maldives,MDL-,
Goundam,Mali,MAL-,
Valletta,Malta,MAA-,
Majuro,Marshall Islands,MAI-,
Fderik,Mauritania,MAN-,
Curepipe,Mauritius,MAU-,
Vicente Guerrero,Mexico,MEX-,
Dubasari,Moldova,MOD-,
Monaco,Monaco,MOC-,
Suchboatar,Mongolia,MON-,
Podgorica,Montenegro,MOG-,
Ksar El Kebir,Morocco,MOR-,
Moatize,Mozambique,MOZ-,
Loikaw,Myanmar,MYN-,
Omaruru,Namibia,NMB-,
Sallyan,Nepal,NEP-,
Assen,Netherlands,NTR-,
Noumea,New Caledonia,NCA-,
Greymouth,New Zealand,NZL-,
Somoto,Nicaragua,NCG-,
Goure,Niger,NGR-,
Umuahia,Nigeria,NIG-,
Sariwon,North Korea,PRK-,
Kyrenia,Northern Cyprus,NCY-,
Capitol Hill,Northern Mariana Islands,NMI-,
Arendal,Norway,NRW-,
Alayat Samail,Oman,OMN-,
Parachinar,Pakistan,PAK-,
Koror,Palau,PAU-,
Ramallah,Palestine,PAT-,
El Porvenir,Panama,PAN-,
Wabag,Papua New Guinea,PNG-,
Mariscal Jose F. Estigarribia,Paraguay,PRG-,
Ferrenafe,Peru,PER-,
San Carlos,Philippines,PHP-,
Olsztyn,Poland,POL-,
Aveiro,Portugal,PTR-,
Ponce,Puerto Rico,PRO-,
Doha,Qatar,QTR-,
Targu Jiu,Romania,ROM-,
Nazran,Russia,RUS-,
Gikongoro,Rwanda,RWN-,
Basseterre,Saint Kitts and Nevis,SKN-,
Castries,Saint Lucia,SLU-,
Apia,Samoa,SAM-,
San Marino,San Marino,SMA-,
Santo Antonio,Sao Tome and Principe,STP-,
An Nabk,Saudi Arabia,SAU-,
Fatick,Senegal,SEN-,
Subotica,Serbia,SER-,
Victoria,Seychelles,SYC-,
Makeni,Sierra Leone,SLE-,
Singapore,Singapore,SGP-,
Banska Bystrica,Slovakia,SLO-,
Maribor,Slovenia,SLO-,
Gizo,Solomon Islands,SOS-,
Xuddur,Somalia,SOM-,
Laascaanood,Somaliland,SOI-,
Qacha's Nek,South Africa,ZSA-,
Grytviken,South Georgia and the Islands,SGI-,
Eumseong,South Korea,KOR-,
Bentiu,South Sudan,SSU-,
Merida,Spain,ESP-,
Trincomalee,Sri Lanka,SRL-,
Ed Damazin,Sudan,SUD-,
Onverwacht,Suriname,SUR-,
Piggs Peak,Swaziland,SWZ-,
Falun,Sweden,SWE-,
Delemont,Switzerland,SWI-,
Dar'a,Syria,SYR-,
Bade,Taiwan,TWN-,
Leninobod,Tajikistan,TAJ-,
Wete,Tanzania,TAN-,
Mae Hong Son,Thailand,THA-,
Freeport,The Bahamas,BAH-,
Georgetown,The Gambia,GAM-,
Bassar,Togo,TOG-,
Neiafu,Tonga,TOG-,
San Fernando,Trinidad and Tobago,TAT-,
Medemine,Tunisia,TUN-,
Kirklareli,Turkey,TUR-,
Gyzlarbat,Turkmenistan,TKM-,
Grand Turk,Turks and Caicos Islands,TCI-,
Funafuti,Tuvalu,TVL-,
Kalangala,Uganda,UGN-,
Mykolayiv,Ukraine,UKR-,
Umm al Qaywayn,United Arab Emirates,UAE-,
Greenock,United Kingdom,GRB-,
Christiansted,United States Virgin Islands,UVG-,
Colonia del Sacramento,Uruguay,URG-,
Khujayli,Uzbekistan,UZB-,
Luganville,Vanuatu,VNT-,
Vatican City,Vatican,VAT-,
San Carlos,Venezuela,VEN-,
Tay Ninh,Vietnam,VNM-,
Bir Lehlou,Western Sahara,WSA-,
Al Bayda,Yemen,YMN-,
Kawambwa,Zambia,ZMB-,
Mazowe,Zimbabwe,ZMV-,
Beyla,Guinea,GUI-,
Farim,Guinea Bissau,GUB-,
Georgetown,Guyana,GUY-,
Jeremie,Haiti,HAI-,
Tegucigalpa,Honduras,HON-,
Hong Kong,Hong Kong S.A.R.,HKG-,
Veszprem,Hungary,HUN-,
Reykjavik,Iceland,ICE-,
Panaji,India,IND-,
Haora,India,IND-,
Alipur Duar,India,IND-,
