AFG7770,Qal eh-ye
ALD3350,Mariehamn
ALB6490,Kruje
DZA270,Jijel
ASM7630,Pago Pago
AND4260,Andorra
AGO2110,Mucusso
ARG4290,de Noviembre
ARM8620,Ashtarak
ABW1350,Oranjestad
AUS220,Central Coast
AUT1670,Bregenz
AZE110,Gadabay
BHR3730,Manama
BGD7840,Tangail
BRB3240,Bridgetown
BLR4130,Baranavichy
BEL9800,Mons
BLZ8620,El Cayo
BEN2810,Lokossa
BMU840,Hamilton
BTN5050,Paro
BOL3130,Punata
BIH8950,Zenica
BWA8140,Mochudi
BRA3640,Grajau
BRN870,Bandar Seri Begawan
BGR1780,Lovec
BFA4030,Fada Ngourma
BDI3990,Cankuzo
KHM6760,Kampong Spoe
CMR120,Buea
CAN940,Selkirk
CPV5700,Mindelo
CYM4670,George Town
CAF9020,Mobaye
TCD6520,Lai
CHL2800,Rio Verde
CHN8650,Yumen
COL6190,Yopal
COM310,Moroni
COG7710,Madingou
COD7090,Buluko
COK8560,Rarotonga
CRI5860,Heredia
HRV6830,Sibenik
CUB5280,Ciego de Avila
CUW8290,Willemstad
CYP2700,Larnaka
CZE7150,Usti Nad Labem
DNK7960,Vejle
DJI2450,Dikhil
DMA9210,Roseau
DOM4880,Sabaneta
TLS8410,Dili
ECU5000,Puyo
EGY1240,Shibin el Kom
SLV8560,Ahuachapan
GNQ2270,Evinayong
ERI9360,Tessenei
EST4370,Haapsalu
ETH4070,Awasa
FLK8580,Fox Bay
FRO2370,Klaksvik
FSM8180,Palikir
FJI110,Nandi
FIN7760,Hameenlinna
FRA7630,Annecy
PYF6060,Papeete
GAB8180,Ebebiyin
GEO3690,Kutaisi
DEU9960,Mainz
GHA4700,Sunyani
GBR4990,Gibraltar
GRC6440,Lamia
GRD1390,Qasigiannguit
GRE6690,Saint George's
GUM4640,Agana
GUA3550,Salama
GUI6110,Mali
GUB2990,Cacheu
GUY5680,Corriverton
HAI3110,Jeremie
HON8010,Yoro
HKG8780,Hong Kong
HUN7360,Veszprem
ICE5220,Borgarnes
IND4160,Panaji
INA9240,Binjai
IRN6240,Yasuj
IRQ4520,Dahuk
IRL5500,Ros Comain
ISM9730,Douglas
ISR9300,Ramla
ITA6600,Potenza
IVC9810,Touba
JAM9590,Lucea
JPN6680,Okayama
JOR9260,Al Mafraq
KZH3400,Turgay
KEY3760,Nyeri
KIR1070,Tarawa
KOS1790,Prizren
KUW4120,Hawalli
KYG6590,Tokmak
LAO2100,Ban Houayxay
LAT2060,Rezekne
LEB3720,B'abda
LES8190,Teyateyaneng
LIB9040,Barclayville
LBY9400,Dirj
LIE2280,Vaduz
LIT9840,Panevezys
LXB2240,Diekirch
MAU3960,Macau
MAC840,Tetovo
MAD6720,Sambava
MAW3850,Mzimba
MYL6400,Kangar
MDL7130,Male
MAL5240,Goundam
MAA5810,Valletta
MAI7320,Majuro
MAN40,Fderik
MAU2730,Curepipe
MEX2550,Vicente Guerrero
MOD5790,Dubasari
MOC2050,Monaco
MON5040,Suchboatar
MOG7540,Podgorica
MOR9440,Ksar El Kebir
MOZ5060,Moatize
MYN8420,Loikaw
NMB1890,Omaruru
NEP9580,Sallyan
NTR8080,Assen
NCA3030,Noumea
NZL6480,Greymouth
NCG5670,Somoto
NGR5290,Goure
NIG7880,Umuahia
PRK9900,Sariwon
NCY3630,Kyrenia
NMI8920,Capitol Hill
NRW1520,Arendal
OMN1880,Alayat Samail
PAK4360,Parachinar
PAU9210,Koror
PAT280,Ramallah
PAN7480,El Porvenir
PNG7940,Wabag
PRG430,Mariscal Jose F. Estigarribia
PER4280,Ferrenafe
PHP6810,San Carlos
POL1590,Olsztyn
PTR1340,Aveiro
PRO2150,Ponce
QTR6290,Doha
ROM2850,Targu Jiu
RUS3350,Nazran
RWN2380,Gikongoro
SKN2890,Basseterre
SLU2920,Castries
SAM1440,Apia
SMA6820,San Marino
STP5690,Santo Antonio
SAU2610,An Nabk
SEN1170,Fatick
SER810,Subotica
SYC4250,Victoria
SLE6770,Makeni
SGP6260,Singapore
SLO6140,Banska Bystrica
SLO3580,Maribor
SOS1000,Gizo
SOM9940,Xuddur
SOI5780,Laascaanood
ZSA2900,Qacha's Nek
SGI510,Grytviken
KOR5930,Eumseong
SSU3120,Bentiu
ESP3550,Merida
SRL4120,Trincomalee
SUD9690,Ed Damazin
SUR3550,Onverwacht
SWZ4330,Piggs Peak
SWE3380,Falun
SWI2840,Delemont
SYR6060,Dar'a
TWN2370,Bade
TAJ2170,Leninobod
TAN7830,Wete
THA8730,Mae Hong Son
BAH4830,Freeport
GAM7570,Georgetown
TOG7290,Bassar
TOG6180,Neiafu
TAT3880,San Fernando
TUN1570,Medemine
TUR3580,Kirklareli
TKM4170,Gyzlarbat
TCI3630,Grand Turk
TVL1730,Funafuti
UGN4620,Kalangala
UKR2920,Mykolayiv
UAE1150,Umm al Qaywayn
GRB5740,Greenock
USA9510,Faribault
USA5370,Washington D.C.
UVG300,Christiansted
URG810,Colonia del Sacramento
UZB20,Khujayli
VNT7960,Luganville
VAT5800,Vatican City
VEN9700,San Carlos
VNM3790,Tay Ninh
WSA5360,Bir Lehlou
YMN4830,Al Bayda
ZMB8570,Kawambwa
ZMV9110,Mazowe
