ALD3350,AFG-ALD-30
ALB6490,AFG-ALB-36
DZA270,AFG-DZA-42
ASM7630,AFG-ASM-48
AND4260,AFG-AND-54
AGO2110,AFG-AGO-60
ARG4290,AFG-ARG-66
ARM8620,AFG-ARM-72
ABW1350,AFG-ABW-78
AUS220,AFG-AUS-84
AUT1670,AFG-AUT-90
AZE110,AFG-AZE-96
BHR3730,AFG-BHR-102
BGD7840,AFG-BGD-108
BRB3240,AFG-BRB-114
BLR4130,AFG-BLR-120
BEL9800,AFG-BEL-126
BLZ8620,AFG-BLZ-132
BEN2810,AFG-BEN-138
BMU840,AFG-BMU-144
BTN5050,AFG-BTN-150
BOL3130,AFG-BOL-156
BIH8950,AFG-BIH-162
BWA8140,AFG-BWA-168
BRA3640,AFG-BRA-174
BRN870,AFG-BRN-180
BGR1780,AFG-BGR-186
BFA4030,AFG-BFA-192
BDI3990,AFG-BDI-198
KHM6760,AFG-KHM-204
CMR120,AFG-CMR-210
CAN940,AFG-CAN-216
CPV5700,AFG-CPV-222
CYM4670,AFG-CYM-228
CAF9020,AFG-CAF-234
TCD6520,AFG-TCD-240
CHL2800,AFG-CHL-246
CHN8650,AFG-CHN-252
COL6190,AFG-COL-258
COM310,AFG-COM-264
COG7710,AFG-COG-270
COD7090,AFG-COD-276
COK8560,AFG-COK-282
CRI5860,AFG-CRI-288
HRV6830,AFG-HRV-294
CUB5280,AFG-CUB-300
CUW8290,AFG-CUW-306
CYP2700,AFG-CYP-312
CZE7150,AFG-CZE-318
DNK7960,AFG-DNK-324
DJI2450,AFG-DJI-330
DMA9210,AFG-DMA-336
DOM4880,AFG-DOM-342
TLS8410,AFG-TLS-348
ECU5000,AFG-ECU-354
EGY1240,AFG-EGY-360
SLV8560,AFG-SLV-366
GNQ2270,AFG-GNQ-372
ERI9360,AFG-ERI-378
EST4370,AFG-EST-384
ETH4070,AFG-ETH-390
FLK8580,AFG-FLK-396
FRO2370,AFG-FRO-402
FSM8180,AFG-FSM-408
FJI110,AFG-FJI-414
FIN7760,AFG-FIN-420
FRA7630,AFG-FRA-426
PYF6060,AFG-PYF-432
GAB8180,AFG-GAB-438
GEO3690,AFG-GEO-444
DEU9960,AFG-DEU-450
GHA4700,AFG-GHA-456
GBR4990,AFG-GBR-462
GRC6440,AFG-GRC-468
GRD1390,AFG-GRD-474
GRE6690,AFG-GRE-480
GUM4640,AFG-GUM-486
GUA3550,AFG-GUA-492
GUI6110,AFG-GUI-498
GUB2990,AFG-GUB-504
GUY5680,AFG-GUY-510
HAI3110,AFG-HAI-516
HON8010,AFG-HON-522
HKG8780,AFG-HKG-528
HUN7360,AFG-HUN-534
ICE5220,AFG-ICE-540
IND4160,AFG-IND-546
INA9240,AFG-INA-552
IRN6240,AFG-IRN-558
IRQ4520,AFG-IRQ-564
IRL5500,AFG-IRL-570
ISM9730,AFG-ISM-576
ISR9300,AFG-ISR-582
ITA6600,AFG-ITA-588
IVC9810,AFG-IVC-594
JAM9590,AFG-JAM-600
JPN6680,AFG-JPN-606
JOR9260,AFG-JOR-612
KZH3400,AFG-KZH-618
KEY3760,AFG-KEY-624
KIR1070,AFG-KIR-630
KOS1790,AFG-KOS-636
KUW4120,AFG-KUW-642
KYG6590,AFG-KYG-648
LAO2100,AFG-LAO-654
LAT2060,AFG-LAT-660
LEB3720,AFG-LEB-666
LES8190,AFG-LES-672
LIB9040,AFG-LIB-678
LBY9400,AFG-LBY-684
LIE2280,AFG-LIE-690
LIT9840,AFG-LIT-696
LXB2240,AFG-LXB-702
MAU3960,AFG-MAU-708
MAC840,AFG-MAC-714
MAD6720,AFG-MAD-720
MAW3850,AFG-MAW-726
MYL6400,AFG-MYL-732
MDL7130,AFG-MDL-738
MAL5240,AFG-MAL-744
MAA5810,AFG-MAA-750
MAI7320,AFG-MAI-756
MAN40,AFG-MAN-762
MAU2730,AFG-MAU-768
MEX2550,AFG-MEX-774
MOD5790,AFG-MOD-780
MOC2050,AFG-MOC-786
MON5040,AFG-MON-792
MOG7540,AFG-MOG-798
MOR9440,AFG-MOR-804
MOZ5060,AFG-MOZ-810
MYN8420,AFG-MYN-816
NMB1890,AFG-NMB-822
NEP9580,AFG-NEP-828
NTR8080,AFG-NTR-834
NCA3030,AFG-NCA-840
NZL6480,AFG-NZL-846
NCG5670,AFG-NCG-852
NGR5290,AFG-NGR-858
NIG7880,AFG-NIG-864
PRK9900,AFG-PRK-870
NCY3630,AFG-NCY-876
NMI8920,AFG-NMI-882
NRW1520,AFG-NRW-888
OMN1880,AFG-OMN-894
PAK4360,AFG-PAK-900
PAU9210,AFG-PAU-906
PAT280,AFG-PAT-912
PAN7480,AFG-PAN-918
PNG7940,AFG-PNG-924
PRG430,AFG-PRG-930
PER4280,AFG-PER-936
PHP6810,AFG-PHP-942
POL1590,AFG-POL-948
PTR1340,AFG-PTR-954
PRO2150,AFG-PRO-960
QTR6290,AFG-QTR-966
ROM2850,AFG-ROM-972
RUS3350,AFG-RUS-978
RWN2380,AFG-RWN-984
SKN2890,AFG-SKN-990
SLU2920,AFG-SLU-996
SAM1440,AFG-SAM-1002
SMA6820,AFG-SMA-1008
STP5690,AFG-STP-1014
SAU2610,AFG-SAU-1020
SEN1170,AFG-SEN-1026
SER810,AFG-SER-1032
SYC4250,AFG-SYC-1038
SLE6770,AFG-SLE-1044
SGP6260,AFG-SGP-1050
SLO6140,AFG-SLO-1056
SLO3580,AFG-SLO-1062
SOS1000,AFG-SOS-1068
SOM9940,AFG-SOM-1074
SOI5780,AFG-SOI-1080
ZSA2900,AFG-ZSA-1086
SGI510,AFG-SGI-1092
KOR5930,AFG-KOR-1098
SSU3120,AFG-SSU-1104
ESP3550,AFG-ESP-1110
SRL4120,AFG-SRL-1116
SUD9690,AFG-SUD-1122
SUR3550,AFG-SUR-1128
SWZ4330,AFG-SWZ-1134
SWE3380,AFG-SWE-1140
SWI2840,AFG-SWI-1146
SYR6060,AFG-SYR-1152
TWN2370,AFG-TWN-1158
TAJ2170,AFG-TAJ-1164
TAN7830,AFG-TAN-1170
THA8730,AFG-THA-1176
BAH4830,AFG-BAH-1182
GAM7570,AFG-GAM-1188
TOG7290,AFG-TOG-1194
TOG6180,AFG-TOG-1200
TAT3880,AFG-TAT-1206
TUN1570,AFG-TUN-1212
TUR3580,AFG-TUR-1218
TKM4170,AFG-TKM-1224
TCI3630,AFG-TCI-1230
TVL1730,AFG-TVL-1236
UGN4620,AFG-UGN-1242
UKR2920,AFG-UKR-1248
UAE1150,AFG-UAE-1254
GRB5740,AFG-GRB-1260
UVG9510,AFG-UVG-1266
URG5370,AFG-URG-1272
UZB300,AFG-UZB-1278
VNT810,AFG-VNT-1284
VAT20,AFG-VAT-1290
VEN7960,AFG-VEN-1296
VNM5800,AFG-VNM-1302
WSA9700,AFG-WSA-1308
YMN3790,AFG-YMN-1314
ZMB5360,AFG-ZMB-1320
ZMV4830,AFG-ZMV-1326
GUI8570,AFG-GUI-1332
GUI9110,AFG-GUB-1338
GUI2360,AFG-GUY-1344
GUI1050,AFG-HAI-1350
GUI2440,AFG-HON-1356
GUI9340,AFG-HKG-1362
GUI9550,AFG-HUN-1368
GUI7680,AFG-ICE-1374
GUI8050,AFG-IND-1380
GUI9820,AFG-IND-1386
GUI930,AFG-IND-1392
AFG7770,ALD-AFG-1398
ALB6490,ALD-ALB-1404
DZA270,ALD-DZA-1410
ASM7630,ALD-ASM-1416
AND4260,ALD-AND-1422
AGO2110,ALD-AGO-1428
ARG4290,ALD-ARG-1434
ARM8620,ALD-ARM-1440
ABW1350,ALD-ABW-1446
