Qal eh-ye,Afghanistan,August,6,AFG777
Chaghcharan,Afghanistan,August,3,AFG335
Lashkar Gah,Afghanistan,November,2,AFG649
Zaranj,Afghanistan,February,2,AFG27
Tarin Kowt,Afghanistan,March,9,AFG763
Zareh Sharan,Afghanistan,November,0,AFG426
Asadabad,Afghanistan,May,6,AFG211
Taloqan,Afghanistan,September,7,AFG429
Mahmud-E Eraqi,Afghanistan,March,0,AFG862
Mehtar Lam,Afghanistan,August,7,AFG135
Baraki Barak,Afghanistan,June,2,AFG22
Aybak,Afghanistan,July,9,AFG167
Mayda Shahr,Afghanistan,February,6,AFG11
Karokh,Afghanistan,November,9,AFG373
Sheberghan,Afghanistan,October,9,AFG784
Pol-e Khomri,Afghanistan,February,8,AFG324
Balkh,Afghanistan,December,0,AFG413
Meymaneh,Afghanistan,November,1,AFG980
Andkhvoy,Afghanistan,September,3,AFG862
Qalat,Afghanistan,March,6,AFG281
Ghazni,Afghanistan,October,5,AFG84
Feyzabad,Afghanistan,April,6,AFG505
Kondoz,Afghanistan,November,9,AFG313
Jalalabad,Afghanistan,June,4,AFG895
Charikar,Afghanistan,July,5,AFG814
Gardiz,Afghanistan,April,4,AFG364
Bamian,Afghanistan,April,0,AFG87
Baghlan,Afghanistan,January,6,AFG178
Farah,Afghanistan,September,4,AFG403
Herat,Afghanistan,December,4,AFG399
Mazar-e Sharif,Afghanistan,January,0,AFG676
Kandahar,Afghanistan,January,9,AFG12
Kabul,Afghanistan,November,6,AFG94
Mariehamn,Aland,December,5,ALD570
Kruje,Albania,March,8,ALB467
Fier,Albania,October,7,ALB902
Lushnje,Albania,October,2,ALB652
Puke,Albania,September,1,ALB280
Bajram Curri,Albania,March,1,ALB865
Kukes,Albania,June,4,ALB619
Sarande,Albania,May,9,ALB31
Erseke,Albania,February,7,ALB771
Pogradec,Albania,October,5,ALB709
Korce,Albania,August,7,ALB856
Berat,Albania,June,3,ALB586
Corovode,Albania,June,6,ALB683
Gramsh,Albania,December,4,ALB528
Librazhd,Albania,April,2,ALB829
Tepelene,Albania,April,9,ALB270
Permet,Albania,January,8,ALB715
Gjirokaster,Albania,May,9,ALB796
Peshkopi,Albania,December,8,ALB245
Burrel,Albania,March,1,ALB921
Lezhe,Albania,December,9,ALB488
Rreshen,Albania,September,8,ALB841
Vlore,Albania,March,3,ALB500
Elbasan,Albania,March,4,ALB124
Durres,Albania,November,7,ALB856
Shkoder,Albania,April,1,ALB227
Tirana,Albania,February,9,ALB936
Jijel,Algeria,May,1,DZA437
Tizi-Ouzou,Algeria,May,5,DZA407
Bordj Bou Arreridj,Algeria,July,1,DZA858
Msila,Algeria,August,9,DZA237
Guelma,Algeria,April,3,DZA818
Oum el Bouaghi,Algeria,September,3,DZA11
Timimoun,Algeria,January,9,DZA776
Sidi bel Abbes,Algeria,May,3,DZA763
Tlimcen,Algeria,June,8,DZA606
Beni Ounif,Algeria,May,4,DZA818
Abadla,Algeria,January,8,DZA369
Sefra,Algeria,October,7,DZA996
Skikda,Algeria,September,3,DZA470
Djanet,Algeria,December,0,DZA499
I-n-Amenas,Algeria,May,5,DZA644
In Amguel,Algeria,July,5,DZA139
El Bayadh,Algeria,March,6,DZA669
El Oued,Algeria,March,2,DZA464
Hassi Messaoud,Algeria,February,7,DZA355
Chlef,Algeria,May,8,DZA611
Mascara,Algeria,March,8,DZA299
Mostaganem,Algeria,April,6,DZA568
Saida,Algeria,May,2,DZA311
Tiarat,Algeria,November,5,DZA801
Bejaia,Algeria,February,0,DZA878
Blida,Algeria,June,0,DZA736
Bouira,Algeria,May,6,DZA522
Medea,Algeria,June,8,DZA416
Souk Ahras,Algeria,July,8,DZA924
Tebessa,Algeria,October,2,DZA624
Adrar,Algeria,January,6,DZA452
Reggane,Algeria,December,9,DZA550
Bechar,Algeria,September,1,DZA973
Tindouf,Algeria,December,1,DZA930
Illizi,Algeria,February,4,DZA660
Arak,Algeria,April,9,DZA981
I-n-Salah,Algeria,December,6,DZA959
El Golea,Algeria,October,3,DZA668
Laghouat,Algeria,March,5,DZA926
Touggourt,Algeria,March,4,DZA340
Ouargla,Algeria,November,4,DZA376
Biskra,Algeria,July,6,DZA107
Djelfa,Algeria,October,6,DZA179
Setif,Algeria,July,7,DZA412
Batna,Algeria,May,2,DZA659
