Qal eh-ye,Afghanistan,September,6,AFG777
Chaghcharan,Afghanistan,September,3,AFG335
Lashkar Gah,Afghanistan,December,2,AFG649
Zaranj,Afghanistan,February,2,AFG27
Tarin Kowt,Afghanistan,March,9,AFG763
Zareh Sharan,Afghanistan,December,0,AFG426
Asadabad,Afghanistan,June,6,AFG211
Taloqan,Afghanistan,October,7,AFG429
Mahmud-E Eraqi,Afghanistan,March,0,AFG862
Mehtar Lam,Afghanistan,September,7,AFG135
Baraki Barak,Afghanistan,July,2,AFG22
Aybak,Afghanistan,August,9,AFG167
Mayda Shahr,Afghanistan,February,6,AFG11
Karokh,Afghanistan,December,9,AFG373
Sheberghan,Afghanistan,November,9,AFG784
Pol-e Khomri,Afghanistan,February,8,AFG324
Balkh,Afghanistan,,0,AFG413
Meymaneh,Afghanistan,December,1,AFG980
Andkhvoy,Afghanistan,October,3,AFG862
Qalat,Afghanistan,March,6,AFG281
Ghazni,Afghanistan,November,5,AFG84
Feyzabad,Afghanistan,April,6,AFG505
Kondoz,Afghanistan,December,9,AFG313
Jalalabad,Afghanistan,July,4,AFG895
Charikar,Afghanistan,August,5,AFG814
Gardiz,Afghanistan,April,4,AFG364
Bamian,Afghanistan,April,0,AFG87
Baghlan,Afghanistan,January,6,AFG178
Farah,Afghanistan,October,4,AFG403
Herat,Afghanistan,,4,AFG399
Mazar-e Sharif,Afghanistan,January,0,AFG676
Kandahar,Afghanistan,January,9,AFG12
Kabul,Afghanistan,December,6,AFG94
Mariehamn,Aland,,5,ALD570
Kruje,Albania,March,8,ALB467
Fier,Albania,November,7,ALB902
Lushnje,Albania,November,2,ALB652
Puke,Albania,October,1,ALB280
Bajram Curri,Albania,March,1,ALB865
Kukes,Albania,July,4,ALB619
Sarande,Albania,June,9,ALB31
Erseke,Albania,February,7,ALB771
Pogradec,Albania,November,5,ALB709
Korce,Albania,September,7,ALB856
Berat,Albania,July,3,ALB586
Corovode,Albania,July,6,ALB683
Gramsh,Albania,,4,ALB528
Librazhd,Albania,April,2,ALB829
Tepelene,Albania,April,9,ALB270
Permet,Albania,January,8,ALB715
Gjirokaster,Albania,June,9,ALB796
Peshkopi,Albania,,8,ALB245
